as_of_date,region,covid_hosp,covid_icu,covid_intube,yearid,covid_hosp_pop,date_num,Date
2020-05-26T04:00:00Z,Lower Hudson Valley,480,140,106,2020,22.454,147,5/26/20<br>Daily count: 480
2020-05-27T04:00:00Z,New York City,2236,758,614,2020,25.397,148,"5/27/20<br>Daily count: 2,236"
2020-05-27T04:00:00Z,Long Island,668,200,152,2020,22.863,148,5/27/20<br>Daily count: 668
2020-05-27T04:00:00Z,Lower Hudson Valley,466,136,102,2020,21.799,148,5/27/20<br>Daily count: 466
2020-05-28T04:00:00Z,New York City,2084,726,578,2020,23.671,149,"5/28/20<br>Daily count: 2,084"
2020-05-28T04:00:00Z,Long Island,629,184,142,2020,21.529,149,5/28/20<br>Daily count: 629
2020-05-28T04:00:00Z,Lower Hudson Valley,444,132,96,2020,20.77,149,5/28/20<br>Daily count: 444
2020-05-29T04:00:00Z,New York City,1995,693,550,2020,22.66,150,"5/29/20<br>Daily count: 1,995"
2020-05-29T04:00:00Z,Long Island,586,174,140,2020,20.057,150,5/29/20<br>Daily count: 586
2020-05-29T04:00:00Z,Lower Hudson Valley,411,128,95,2020,19.226,150,5/29/20<br>Daily count: 411
2020-05-30T04:00:00Z,New York City,1888,643,506,2020,21.444,151,"5/30/20<br>Daily count: 1,888"
2020-05-30T04:00:00Z,Long Island,553,155,127,2020,18.927,151,5/30/20<br>Daily count: 553
2020-05-30T04:00:00Z,Lower Hudson Valley,393,124,87,2020,18.384,151,5/30/20<br>Daily count: 393
2020-05-31T04:00:00Z,New York City,1803,603,477,2020,20.479,152,"5/31/20<br>Daily count: 1,803"
2020-05-31T04:00:00Z,Long Island,545,151,119,2020,18.654,152,5/31/20<br>Daily count: 545
2020-05-31T04:00:00Z,Lower Hudson Valley,378,119,81,2020,17.683,152,5/31/20<br>Daily count: 378
2020-06-01T04:00:00Z,New York City,1699,551,433,2020,19.298,153,"6/1/20<br>Daily count: 1,699"
2020-06-01T04:00:00Z,Long Island,472,131,101,2020,16.155,153,6/1/20<br>Daily count: 472
2020-06-01T04:00:00Z,Lower Hudson Valley,360,106,71,2020,16.841,153,6/1/20<br>Daily count: 360
2020-06-02T04:00:00Z,New York City,1623,528,409,2020,18.434,154,"6/2/20<br>Daily count: 1,623"
2020-06-02T04:00:00Z,Long Island,435,115,91,2020,14.889,154,6/2/20<br>Daily count: 435
2020-06-02T04:00:00Z,Lower Hudson Valley,346,100,65,2020,16.186,154,6/2/20<br>Daily count: 346
2020-06-03T04:00:00Z,New York City,1532,499,385,2020,17.401,155,"6/3/20<br>Daily count: 1,532"
2020-06-03T04:00:00Z,Long Island,414,115,90,2020,14.17,155,6/3/20<br>Daily count: 414
2020-06-03T04:00:00Z,Lower Hudson Valley,332,91,65,2020,15.531,155,6/3/20<br>Daily count: 332
2020-06-04T04:00:00Z,New York City,1483,452,366,2020,16.844,156,"6/4/20<br>Daily count: 1,483"
2020-06-04T04:00:00Z,Long Island,382,103,88,2020,13.075,156,6/4/20<br>Daily count: 382
2020-06-04T04:00:00Z,Lower Hudson Valley,308,84,62,2020,14.408,156,6/4/20<br>Daily count: 308
2020-06-05T04:00:00Z,New York City,1425,420,347,2020,16.185,157,"6/5/20<br>Daily count: 1,425"
2020-06-05T04:00:00Z,Long Island,348,97,80,2020,11.911,157,6/5/20<br>Daily count: 348
2020-06-05T04:00:00Z,Lower Hudson Valley,288,82,60,2020,13.473,157,6/5/20<br>Daily count: 288
2020-06-06T04:00:00Z,New York City,1335,420,337,2020,15.163,158,"6/6/20<br>Daily count: 1,335"
2020-06-06T04:00:00Z,Long Island,311,94,78,2020,10.645,158,6/6/20<br>Daily count: 311
2020-06-06T04:00:00Z,Lower Hudson Valley,271,75,53,2020,12.677,158,6/6/20<br>Daily count: 271
2020-06-07T04:00:00Z,New York City,1298,410,320,2020,14.743,159,"6/7/20<br>Daily count: 1,298"
2020-06-07T04:00:00Z,Long Island,303,89,70,2020,10.371,159,6/7/20<br>Daily count: 303
2020-06-07T04:00:00Z,Lower Hudson Valley,261,76,52,2020,12.21,159,6/7/20<br>Daily count: 261
2020-06-08T04:00:00Z,New York City,1280,399,314,2020,14.539,160,"6/8/20<br>Daily count: 1,280"
2020-06-08T04:00:00Z,Long Island,299,88,62,2020,10.234,160,6/8/20<br>Daily count: 299
2020-06-08T04:00:00Z,Lower Hudson Valley,255,74,50,2020,11.929,160,6/8/20<br>Daily count: 255
2020-06-09T04:00:00Z,New York City,1190,380,295,2020,13.516,161,"6/9/20<br>Daily count: 1,190"
2020-06-09T04:00:00Z,Long Island,285,86,65,2020,9.755,161,6/9/20<br>Daily count: 285
2020-06-09T04:00:00Z,Lower Hudson Valley,237,68,45,2020,11.087,161,6/9/20<br>Daily count: 237
2020-06-10T04:00:00Z,New York City,1113,348,278,2020,12.642,162,"6/10/20<br>Daily count: 1,113"
2020-06-10T04:00:00Z,Long Island,257,80,53,2020,8.796,162,6/10/20<br>Daily count: 257
2020-06-10T04:00:00Z,Lower Hudson Valley,223,64,41,2020,10.432,162,6/10/20<br>Daily count: 223
2020-06-11T04:00:00Z,New York City,1036,321,248,2020,11.767,163,"6/11/20<br>Daily count: 1,036"
2020-06-11T04:00:00Z,Long Island,244,76,45,2020,8.351,163,6/11/20<br>Daily count: 244
2020-06-11T04:00:00Z,Lower Hudson Valley,196,64,40,2020,9.169,163,6/11/20<br>Daily count: 196
2020-06-12T04:00:00Z,New York City,933,295,223,2020,10.597,164,6/12/20<br>Daily count: 933
2020-06-12T04:00:00Z,Long Island,233,79,45,2020,7.975,164,6/12/20<br>Daily count: 233
2020-06-12T04:00:00Z,Lower Hudson Valley,176,58,40,2020,8.233,164,6/12/20<br>Daily count: 176
2020-06-13T04:00:00Z,New York City,865,292,209,2020,9.825,165,6/13/20<br>Daily count: 865
2020-06-13T04:00:00Z,Long Island,230,78,49,2020,7.872,165,6/13/20<br>Daily count: 230
